lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
10.8,45.0,4.5,1000000000000000.0,0.16546146,1.5,6.433189316364686
10.8,45.0,4.5,1000000000000000.0,0.21546146,1.5,5.953077229111371
10.8,45.0,4.5,1000000000000000.0,0.26546146,1.5,5.538971107243769
10.8,45.0,4.5,1000000000000000.0,0.31546146,1.5,5.211597632646064
10.8,45.0,4.5,1000000000000000.0,0.36546146,1.5,4.963537190164
10.8,45.0,4.5,1000000000000000.0,0.41546146,1.5,4.774925455826307
10.8,45.0,4.5,1000000000000000.0,0.46546146,1.5,4.626332026047892
10.8,45.0,4.5,1000000000000000.0,0.5,1.5,4.540366605950578
13.2,55.0,5.5,1000000000000000.0,0.0,0.5,8.820454614151192
13.2,55.0,5.5,1000000000000000.0,0.0025,0.5,8.786815356388818
13.2,55.0,5.5,1000000000000000.0,0.0061833333,0.5,8.737315047525362
13.2,55.0,5.5,1000000000000000.0,0.011659222,0.5,8.663861062043463
13.2,55.0,5.5,1000000000000000.0,0.019800044,0.5,8.554958377727877
13.2,55.0,5.5,1000000000000000.0,0.031902732,0.5,8.393701373719145
13.2,55.0,5.5,1000000000000000.0,0.049895394,0.5,8.155355910800955
13.2,55.0,5.5,1000000000000000.0,0.076404584,0.5,7.807299741989818
13.2,55.0,5.5,1000000000000000.0,0.115108,0.5,7.307530569996879
13.2,55.0,5.5,1000000000000000.0,0.165108,0.5,6.684332528422736
13.2,55.0,5.5,1000000000000000.0,0.215108,0.5,6.107769874035623
13.2,55.0,5.5,1000000000000000.0,0.265108,0.5,5.617846617569128
13.2,55.0,5.5,1000000000000000.0,0.315108,0.5,5.249336181765941
13.2,55.0,5.5,1000000000000000.0,0.365108,0.5,4.983374337135732
13.2,55.0,5.5,1000000000000000.0,0.415108,0.5,4.785094878382834
13.2,55.0,5.5,1000000000000000.0,0.465108,0.5,4.631711794547062
13.2,55.0,5.5,1000000000000000.0,0.5,0.5,4.543469285082496
12.0,50.0,5.0,1000000000000000.0,0.0,0.5,8.935649511961174
12.0,50.0,5.0,1000000000000000.0,0.0025,0.5,8.90233483253397
12.0,50.0,5.0,1000000000000000.0,0.0061833333,0.5,8.853139741018246
12.0,50.0,5.0,1000000000000000.0,0.011659222,0.5,8.779863265166346
12.0,50.0,5.0,1000000000000000.0,0.019800044,0.5,8.67091518992134
12.0,50.0,5.0,1000000000000000.0,0.031902732,0.5,8.509444642493008
12.0,50.0,5.0,1000000000000000.0,0.049895394,0.5,8.270906510136305
12.0,50.0,5.0,1000000000000000.0,0.076404584,0.5,7.922756767845348
12.0,50.0,5.0,1000000000000000.0,0.115108,0.5,7.421709694971176
12.0,50.0,5.0,1000000000000000.0,0.165108,0.5,6.796490168060288
12.0,50.0,5.0,1000000000000000.0,0.215108,0.5,6.215321183108004
12.0,50.0,5.0,1000000000000000.0,0.265108,0.5,5.713375301797708
12.0,50.0,5.0,1000000000000000.0,0.315108,0.5,5.324413028275525
12.0,50.0,5.0,1000000000000000.0,0.365108,0.5,5.041744910053894
12.0,50.0,5.0,1000000000000000.0,0.415108,0.5,4.832830734684332
12.0,50.0,5.0,1000000000000000.0,0.465108,0.5,4.672477454275329
12.0,50.0,5.0,1000000000000000.0,0.5,0.5,4.580802732557221
12.0,50.0,5.0,1000000000000000.0,0.0,1.5,8.061037505223565
12.0,50.0,5.0,1000000000000000.0,0.0025,1.5,8.036326175755871
12.0,50.0,5.0,1000000000000000.0,0.0061833333,1.5,7.999764545940064
12.0,50.0,5.0,1000000000000000.0,0.011659222,1.5,7.945073707687441
12.0,50.0,5.0,1000000000000000.0,0.019800044,1.5,7.863038387061327
12.0,50.0,5.0,1000000000000000.0,0.031902732,1.5,7.739601320285073
12.0,50.0,5.0,1000000000000000.0,0.049895394,1.5,7.553152057020193
12.0,50.0,5.0,1000000000000000.0,0.076404584,1.5,7.273419848587464
12.0,50.0,5.0,1000000000000000.0,0.11546146,1.5,6.856100671526158
12.0,50.0,5.0,1000000000000000.0,0.16546146,1.5,6.331187928979966
12.0,50.0,5.0,1000000000000000.0,0.21546146,1.5,5.848247360872571
12.0,50.0,5.0,1000000000000000.0,0.26546146,1.5,5.442554289402978
12.0,50.0,5.0,1000000000000000.0,0.31546146,1.5,5.130640786603502
12.0,50.0,5.0,1000000000000000.0,0.36546146,1.5,4.898667696617538
12.0,50.0,5.0,1000000000000000.0,0.41546146,1.5,4.721030813925519
12.0,50.0,5.0,1000000000000000.0,0.46546146,1.5,4.579488033873144
12.0,50.0,5.0,1000000000000000.0,0.5,1.5,4.497080017036465
12.0,50.0,5.0,1000000000000000.0,0.0,1.0,8.45579023746437
12.0,50.0,5.0,1000000000000000.0,0.0025,1.0,8.427060437192004
12.0,50.0,5.0,1000000000000000.0,0.0061833333,1.0,8.384660903384823
